#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
84787	Y	dimt1l	dimethyladenosine transferase	"rRNA modification | rRNA (adenine-N6,N6-)-dimethyltransferase activity | C-terminal protein carboxyl methyltransferase activity | rRNA processing | methyltransferase activity | C-methyltransferase activity | N-methyltransferase activity | O-methyltransferase activity | S-methyltransferase activity | RNA methyltransferase activity | mRNA methyltransferase activity | tRNA methyltransferase activity | protein methyltransferase activity | site-specific DNA-methyltransferase (cytosine-specific) activity | 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity | rRNA methyltransferase activity | rRNA (uridine-2'-O-)-methyltransferase activity | S-adenosylmethionine-dependent methyltransferase activity | DNA-methyltransferase activity | rRNA (cytosine-C5-967)-methyltransferase activity | selenocysteine methyltransferase activity | arginine N-methyltransferase activity | protein-arginine N-methyltransferase activity | lysine N-methyltransferase activity | protein-lysine N-methyltransferase activity | tRNA"	"RrnaAD, rADc, ksgA, SAM_BIND, RRNA_A_DIMETH"	35.8936
84790	Y	DDB_G0282801	involucrin repeat-containing protein	DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		34.5076
84795	Y	fgeneshDP_pg.C_scaffold_537000004		nucleoside transporter activity | transport | membrane	"DERENTRNSPRT, Nucleoside_tran"	35.5606
84802	Y	fgeneshDP_pg.C_scaffold_538000005		calcium ion binding	EF_HAND	32.3226
84805	Y	fgeneshDP_pg.C_scaffold_538000008				34.9664
84807	Y	DDB_G0267902		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		31.2558
84808	Y	fgeneshDP_pg.C_scaffold_539000002				35.3122
84809	Y	DDB_G0267890				32.0271
84811	Y	fgeneshDP_pg.C_scaffold_539000005				29.0703
84814	Y	fgeneshDP_pg.C_scaffold_540000003				34.6419
84817	Y	fgeneshDP_pg.C_scaffold_541000001				7.60095
84819	Y	fgeneshDP_pg.C_scaffold_541000003				4.74223
84821	Y	DDB_G0270092		myosin ATPase activity		32.2319
84822	Y	fgeneshDP_pg.C_scaffold_542000003				35.0283
84826	Y	fgeneshDP_pg.C_scaffold_543000001				2.8695
84827	Y	fgeneshDP_pg.C_scaffold_543000002				28.5242
84830	Y	fgeneshDP_pg.C_scaffold_543000005				0.475824
84840	Y	fgeneshDP_pg.C_scaffold_546000004				20.8531
84843	Y	fgeneshDP_pg.C_scaffold_547000001			FNIP	10.3546
84850	Y	strap	ortholog of the serine-threonine kinase receptor-associated protein STRAP%2C an inhibitor of TGF-beta signaling%3B contains 7 WD40 repeats		"sp_Q9LW17_ARATH_Q9LW17;, GPROTEINBRPT, WD40, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	35.3927
84858	Y	DDB_G0274805	"IRSp53/MIM homology domain-containing protein (IMD), SH3 domain-containing protein"		"sp_Q86IZ1_DICDI_Q86IZ1;, SH3DOMAIN, SH3_1, SH3_2, SH3, SH3"	35.8818
84867	Y	fgeneshDP_pg.C_scaffold_551000001		ubiquitin-protein ligase activity		31.2499
84870	Y	fgeneshDP_pg.C_scaffold_551000004				0.00257732
84876	Y	DDB_G0270158		ATP binding	sp_COAE_BACSU_O34932;	35.8429
84879	Y	fgeneshDP_pg.C_scaffold_553000002		nucleic acid binding | ubiquitin-protein ligase activity	"C2HCZNFINGER, zf-CCHC, ZnF_C2HC, ZF_CCHC"	2.50888
84882	Y	DDB_G0292852	"AFG1-like ATPase, putative ATPase"	DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity	AFG1_ATPase	32.9149
84889	Y	fgeneshDP_pg.C_scaffold_555000004				29.8278
84890	Y	DDB_G0267660				35.8983
84896	Y	DDB_G0277349	Similar to Trichomonas vaginalis iron-containing superoxide dismutase (EC 1.15.1.1) (Superoxide dismutase).	"superoxide dismutase activity | copper, zinc superoxide dismutase activity | superoxide metabolism | iron superoxide dismutase activity | manganese superoxide dismutase activity | nickel superoxide dismutase activity | metal ion binding"	"sp_Q869C6_DICDI_Q869C6;, MNSODISMTASE, Sod_Fe_N, Sod_Fe_C"	35.5935
84906	Y	fgeneshDP_pg.C_scaffold_558000003		cinnamyl-alcohol dehydrogenase activity		27.9248
84912	Y	fgeneshDP_pg.C_scaffold_559000002				34.5031
84919	Y	fgeneshDP_pg.C_scaffold_560000003			ANK_REP_REGION	34.3579
84927	Y	fgeneshDP_pg.C_scaffold_562000003		GTP binding | small GTPase mediated signal transduction	"RASTRNSFRMNG, CRYSTALLIN_BETAGAMMA"	35.4259
84930	Y	fgeneshDP_pg.C_scaffold_563000001				26.7807
84932	Y	fgeneshDP_pg.C_scaffold_563000003				0.0027027
84938	Y	fgeneshDP_pg.C_scaffold_564000005				17.795
84941	Y	DDB_G0286067		ubiquitin-protein ligase activity	"ANKYRIN, Ank, ANK, ANK_REPEAT, ANK_REP_REGION"	32.8456
84943	Y	mrpl15	"ribosomal protein L15,  mitochondrial"	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis | large ribosomal subunit	"Ribosomal_L15, rplO_bact"	35.5539
84944	Y	phf5a	"PHD finger-like domain-containing protein 5A, splicing factor 3B-associated 14 kDa protein"	molecular function unknown	"sp_U123_ARATH_O80873;, PHF5"	35.4431
84945	Y	DDB_G0284133		1-phosphatidylinositol 4-kinase activity		32.2685
84948	Y	sir2D	"NAD(+)-dependent deacetylase,  silent information regulator protein (Sir2) family protein"	"DNA binding | histone deacetylase activity | chromatin silencing complex | chromatin silencing | regulation of transcription, DNA-dependent | protein N-terminal asparagine amidohydrolase activity | UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity | succinylglutamate desuccinylase activity | hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides | pantetheinase activity | iprodione amidohydrolase activity | (3,5-dichlorophenylurea)acetate amidohydrolase activity | N-acetylgalactosamine-6-phosphate deacetylase activity"	"SIR2, SIRTUIN"	35.8967
84956	Y	rpl35	S60 ribosomal protein L35	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"Ribosomal_L29, L29, RIBOSOMAL_L29"	35.9084
84964	Y	fgeneshDP_pg.C_scaffold_569000005				3.03166
84965	Y	fgeneshDP_pg.C_scaffold_569000006				6.66568
84966	Y	fgeneshDP_pg.C_scaffold_570000001			"WD40, WD40, WD_REPEATS_1"	34.9856
84987	Y	DDB_G0284843				33.1257
84989	Y	fgeneshDP_pg.C_scaffold_574000005				33.377
84992	Y	DDB_G0271242		lipid binding	BPI2	34.5743
84997	Y	DDB_G0291151		1-phosphatidylinositol 4-kinase activity		34.3339
85002	Y	fgeneshDP_pg.C_scaffold_577000001				2.08989
85012	Y	fgeneshDP_pg.C_scaffold_579000002		protein dimerization activity	hATC	20.2036
85013	Y	fgeneshDP_pg.C_scaffold_579000003				1.7335
85014	Y	fgeneshDP_pg.C_scaffold_579000004				10.0797
85015	Y	fgeneshDP_pg.C_scaffold_579000005				7.76185
85017	Y	fgeneshDP_pg.C_scaffold_579000007				8.45249
85018	Y	fgeneshDP_pg.C_scaffold_579000008				17.8315
85023	Y	fgeneshDP_pg.C_scaffold_581000001		actin binding	"sp_Q8CDM9_MOUSE_Q8CDM9;, ILWEQ"	1.50653
85024	Y	fgeneshDP_pg.C_scaffold_581000002				5.75313
85025	Y	fgeneshDP_pg.C_scaffold_582000001				20.4215
85026	Y	fgeneshDP_pg.C_scaffold_582000002			"OTU, OTU"	7.75
85031	Y	DDB_G0275885		nucleic acid binding	"RRM_1, RRM, RRM"	34.4431
85033	Y	fgeneshDP_pg.C_scaffold_584000001		protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q9GZG1_CAEEL_Q9GZG1;, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, CRYSTALLIN_BETAGAMMA"	33.8061
85037	Y	fgeneshDP_pg.C_scaffold_584000005				31.615
85040	Y	fgeneshDP_pg.C_scaffold_585000003				35.2125
85047	Y	mcfP	"Graves disease carrier family protein, mitochondrial substrate carrier family protein, putative mitochondrial coenzyme A transporter"	binding | mitochondrial inner membrane | transport | membrane	"MITOCARRIER, GRAVESDC, Mito_carr, MITOCH_CARRIER"	35.8758
85050	Y	fgeneshDP_pg.C_scaffold_587000001				10.4087
85060	Y	fgeneshDP_pg.C_scaffold_590000001		nucleic acid binding | structural molecule activity	"EGFLAMININ, PAP, PAP_CORE, EGF_1, EGF_2"	28.9569
85064	Y	fgeneshDP_pg.C_scaffold_591000001			"RCCNDNSATION, Ank, RCC1, ANK, RCC1_3, ANK_REPEAT, ANK_REP_REGION, RCC1_2"	0.000740192
85072	Y	DDB_G0286615				35.637
85079	Y	fgeneshDP_pg.C_scaffold_593000006				34.263
85080	Y	fgeneshDP_pg.C_scaffold_593000007			FNIP	17.6751
85086	Y	DDB_G0284127	unknown			28.7282
85090	Y	fgeneshDP_pg.C_scaffold_596000005				35.6389
85094	Y	DDB_G0280329	DHHC-type zinc finger-containing protein	metal ion binding	"sp_Q9XTL3_DROME_Q9XTL3;, zf-DHHC, ZF_DHHC"	35.1083
85101	Y	DDB_G0289243				35.7539
85103	Y	fgeneshDP_pg.C_scaffold_598000004				14.4941
85107	Y	fgeneshDP_pg.C_scaffold_600000001		myosin ATPase activity		15.7769
85108	Y	fgeneshDP_pg.C_scaffold_600000002			FNIP	10.6081
85113	Y	fgeneshDP_pg.C_scaffold_601000002				33.4119
85114	Y	DDB_G0282061				34.7662
85120	Y	H2AZ	histone H2A	nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"sp_H2AV_TETTH_P08992;, HISTONEH2A, Histone, H2A, HIST_TAF"	35.7003
85124	Y	fgeneshDP_pg.C_scaffold_603000004			FNIP	30.9434
85129	Y	trappc3	trafficking protein particle complex 3		TRAPP_Bet3	35.242
85132	Y	fgeneshDP_pg.C_scaffold_605000001		cysteine-type endopeptidase activity | ubiquitin thiolesterase activity | ubiquitin-protein ligase activity | ubiquitin-dependent protein catabolism	UCH_2_3	18.8491
85137	Y	fgeneshDP_pg.C_scaffold_606000001		1-phosphatidylinositol-4-phosphate kinase | 1-phosphatidylinositol-4-phosphate 5-kinase activity	"PIP5K, PIPKc"	3.56178
85139	Y	fslJ-1	"G-protein-coupled receptor (GPCR) family protein, frizzled and smoothened-like protein, putative cell number regulator"	transmembrane receptor activity | G-protein coupled receptor activity | development | membrane	"FZ, G_PROTEIN_RECEP_F2_4"	35.0553
85142	Y	fgeneshDP_pg.C_scaffold_607000003				8.22086
85155	Y	DDB_G0281371			LEURICHRPT	30.3302
85162	Y	DDB_G0274013			HSBP1	30.7093
85167	Y	DDB_G0274345	CONSERVED HYPOTHETICAL PROTEIN	membrane	"STOMATIN, Band_7, PHB"	35.2084
85169	Y	DDB_G0269684		ubiquitin-protein ligase activity		35.4364
8517	Y	mserS	"serine-tRNA ligase, serine-tRNA ligase,  mitochondrial, seryl-tRNA synthetase, seryl-tRNA synthetase,  mitochondrial"	tRNA ligase activity | serine-tRNA ligase activity | ATP binding | tRNA aminoacylation for protein translation | seryl-tRNA aminoacylation	"TRNASYNTHSER, tRNA-synt_2b, Seryl_tRNA_N, serS, AA_TRNA_LIGASE_II"	35.0682
85174	Y	fgeneshDP_pg.C_scaffold_615000001			MITOCH_CARRIER	16.8347
85175	Y	fgeneshDP_pg.C_scaffold_615000002				13.2213
85177	Y	DDB_G0288509	arylamine N-acetyltransferase family protein	arylamine N-acetyltransferase activity | metabolism | acetyltransferase activity	"sp_Q81AS3_BACCR_Q81AS3;, ANATRNSFRASE, Acetyltransf_2"	33.921
85181	Y	fgeneshDP_pg.C_scaffold_616000001				17.5681
85182	Y	fgeneshDP_pg.C_scaffold_616000002				34.4096
85184	Y	ppr2	protein phosphatase 4 regulatory subunit 2			35.5515
85191	Y	gxcF	"RhoGEF domain-containing protein, pleckstrin homology (PH) domain-containing protein"	DNA binding | DNA methylation | N-methyltransferase activity	"RhoGEF, RhoGEF, DH_2, N4_MTASE"	35.4319
85194	Y	fgeneshDP_pg.C_scaffold_618000004				29.6671
85197	Y	fgeneshDP_pg.C_scaffold_620000003				0.540323
85217	Y	fgeneshDP_pg.C_scaffold_625000004				31.9052
85220	Y	fgeneshDP_pg.C_scaffold_626000001				24.7146
85221	Y	fgeneshDP_pg.C_scaffold_626000002				29.7553
85245	Y	alg10	"dolichyl-phosphate-glucose alpha-1, 2-glucosyltransferase, glycosyltransferase"	"alpha-1,6-mannosyltransferase activity | alpha-1,2-mannosyltransferase activity | mannosyltransferase activity | alpha-1,3-mannosyltransferase activity | UDP-glucose:glycoprotein glucosyltransferase activity | glycolipid mannosyltransferase activity | oligosaccharyl transferase activity | dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity | acetylglucosaminyltransferase activity | acetylgalactosaminyltransferase activity | galactosyltransferase activity | fucosyltransferase activity | lipopolysaccharide-1,6-galactosyltransferase activity | UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity | transferase activity, transferring hexosyl groups | cellulose synthase activity | 9-phenanthrol UDP-glucuronosyltransferase activity | 1-phenanthrol glycosyltransferase activity | 9-phenanthrol glycosyltransferase activity | 1,2-dihydroxy-phenanthrene glycosyltransferase activity | phenanthrol glycosyltransferase activity | beta-1,4-mannosyltransferase activity | dolichyl pyroph"		24.005
85248	Y	fgeneshDP_pg.C_scaffold_633000002				34.4501
85249	Y	DDB_G0295781	putative glutamine amidotransferase	metabolism	GATase_2	35.8768
85263	Y	DDB_G0288973		"diacylglycerol pyrophosphate phosphatase activity | thiamin-pyrophosphatase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"		30.7826
85269	Y	fgeneshDP_pg.C_scaffold_639000001				35.393
85295	Y	fgeneshDP_pg.C_scaffold_645000004				1.11704
85297	Y	if1	F1F0-ATPase putative regulatory protein IF1			35.639
85304	Y	fgeneshDP_pg.C_scaffold_648000001				2.33262
85319	Y	fgeneshDP_pg.C_scaffold_652000001				34.1599
85320	Y	fgeneshDP_pg.C_scaffold_652000002		metabolism | hydrolase activity	"Glyco_hydro_18, Glyco_18"	35.7965
85335	Y	DDB_G0273029	Similar to Dictyostelium discoideum (Slime mold). putative RNaseIII.			34.1198
85336	Y	fgeneshDP_pg.C_scaffold_656000004			FNIP	25.0688
85339	Y	DDB_G0274927			"TPR_REPEAT, CRYSTALLIN_BETAGAMMA"	31.679
85365	Y	fgeneshDP_pg.C_scaffold_665000002				3.34494
85366	Y	fgeneshDP_pg.C_scaffold_665000003				8.44972
85367	Y	fgeneshDP_pg.C_scaffold_665000004				5.99802
85371	Y	DDB_G0282481				33.6084
85378	Y	DDB_G0267638	"CHR group protein, SNF2-related domain-containing protein, helicase,  C-terminal domain-containing protein, myb domain-containing protein"	"diacylglycerol pyrophosphate phosphatase activity | nucleic acid binding | DNA binding | helicase activity | thiamin-pyrophosphatase activity | ATP binding | nucleus | ATP-dependent helicase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"	"LEURICHRPT, SNF2_N, Helicase_C, ResIII, HSA, DEXDc, HELICc, HSA, SANT, MYB_3, HELICASE, MYB_1"	32.7953
85382	Y	fgeneshDP_pg.C_scaffold_671000002				14.2912
85390	Y	DDB_G0280367			"TPR_REPEAT, TPR_REGION"	21.2535
85393	Y	fgeneshDP_pg.C_scaffold_675000001				4.00208
85394	Y	fgeneshDP_pg.C_scaffold_675000002		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	3.91312
85395	Y	fgeneshDP_pg.C_scaffold_675000003				7.02655
85402	Y	DDB_G0273415				26.1265
85404	Y	fgeneshDP_pg.C_scaffold_677000005				19.179
85406	Y	fgeneshDP_pg.C_scaffold_678000002				8.49315
85407	Y	fgeneshDP_pg.C_scaffold_679000001				27.5461
85411	Y	lsm2	"LSM (like-Sm) domain-containing protein, putative U6 small nuclear ribonucleoparticle-associated protein"	nucleus | small nucleolar ribonucleoprotein complex | mRNA processing | ribonucleoprotein complex	"sp_Q9VTW6_DROME_Q9VTW6;, LSM, Sm"	30.6994
85412	Y	DDB_G0281777		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	ZF_RING_2	33.3431
85413	Y	helC	DEAD-box RNA helicase	"diacylglycerol pyrophosphate phosphatase activity | nucleic acid binding | helicase activity | thiamin-pyrophosphatase activity | ATP binding | ATP-dependent helicase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"	"DEAD, Helicase_C, DEXDc, HELICc, HELICASE"	35.8013
85420	Y	adcF	arrestin domain-containing protein	ubiquitin-protein ligase activity | signal transduction | sensory perception	"sp_Q9PTE8_AMBTI_Q9PTE8;, Arrestin_C"	26.366
85435	Y	fgeneshDP_pg.C_scaffold_688000002		transmembrane receptor protein serine/threonine kinase activity | 3-phosphoinositide-dependent protein kinase activity | DNA-dependent protein kinase activity | AMP-activated protein kinase activity | casein kinase activity | casein kinase I activity | calmodulin regulated protein kinase activity | eukaryotic elongation factor-2 kinase activity | multifunctional calcium- and calmodulin-regulated protein kinase activity | phosphorylase kinase activity | cyclic nucleotide-dependent protein kinase activity | cGMP-dependent protein kinase activity | cyclin-dependent protein kinase activity | eukaryotic translation initiation factor 2alpha kinase activity | galactosyltransferase-associated kinase activity | glycogen synthase kinase 3 activity | protein kinase C activity | calcium-dependent protein kinase C activity | atypical protein kinase C activity | diacylglycerol-activated phospholipid-dependent protein kinase C activity | receptor signaling protein serine/threonine kinase activity | G-protein coupled recepto		33.4814
85436	Y	fgeneshDP_pg.C_scaffold_688000003				21.845
85446	Y	DDB_G0282805				35.8741
85451	Y	fgeneshDP_pg.C_scaffold_694000003				13.4275
85457	Y	fgeneshDP_pg.C_scaffold_697000001				4.40057
85458	Y	fgeneshDP_pg.C_scaffold_697000002				4.19486
85465	Y	fgeneshDP_pg.C_scaffold_701000003				11.5152
85466	Y	fgeneshDP_pg.C_scaffold_702000001		DNA binding | nucleus	MYB_2	31.1671
85472	Y	fgeneshDP_pg.C_scaffold_705000001				0.00077101
85475	Y	fgeneshDP_pg.C_scaffold_706000001				27.8243
85476	Y	fgeneshDP_pg.C_scaffold_706000002				23.1471
85484	Y	fgeneshDP_pg.C_scaffold_710000002		S-adenosylmethionine-dependent methyltransferase activity	"Methyltransf_4, SAM_BIND"	34.0792
85489	Y	fgeneshDP_pg.C_scaffold_713000001		metabolism | oxidoreductase activity	ALDEHYDE_DEHYDR_CYS	2.0745
85490	Y	fgeneshDP_pg.C_scaffold_713000002				16.8963
85501	Y	fgeneshDP_pg.C_scaffold_716000001				35.7707
85503	Y	DDB_G0288969		ubiquitin-protein ligase activity		32.9681
85505	Y	fgeneshDP_pg.C_scaffold_718000001		calcium ion binding	"efhand, EFh, EF_HAND_2, EF_HAND"	32.9894
85506	Y	fgeneshDP_pg.C_scaffold_718000002				25.3238
85507	Y	fgeneshDP_pg.C_scaffold_718000003				16.1732
85511	Y	fgeneshDP_pg.C_scaffold_721000001				3.35248
85513	Y	fgeneshDP_pg.C_scaffold_722000001				32.0396
